kew_id,taxon_name,taxon_name_binom,authors,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,from_BI_material,data_source,ID
288622-1,Rorippa amphibia (L.) Besser,Rorippa amphibia,(L.) Besser,1.07,0.54,1047.09,523.55,n,Šmarda et al. 2019,2
288628-1,Rorippa austriaca (Crantz) Besser,Rorippa austriaca,(Crantz) Besser,0.45,0.23,444.72,222.36,n,Šmarda et al. 2019,2
288669-1,Rorippa palustris (L.) Besser,Rorippa palustris,(L.) Besser,1.05,0.53,1027.17,513.58,n,Šmarda et al. 2019,2
288692-1,Rorippa sylvestris (L.) Besser,Rorippa sylvestris,(L.) Besser,0.85,0.42,827.71,413.85,n,Šmarda et al. 2019,2
731498-1,Rosa agrestis Savi,Rosa agrestis,Savi,3.04,1.52,2974.15,1487.08,n,Šmarda et al. 2019,2
732569-1,Rosa gallica L.,Rosa gallica,L.,1.9,0.95,1857.71,928.85,n,Šmarda et al. 2019,2
734069-1,Rosa rubiginosa L.,Rosa rubiginosa,L.,2.49,1.24,2434.21,1217.11,n,Šmarda et al. 2019,2
734252-1,Rosa sherardii Davies,Rosa sherardii,Davies,2.48,1.24,2427.94,1213.97,n,Šmarda et al. 2019,2
324822-2,Rosa spinosissima L.,Rosa spinosissima,L.,1.7,0.85,1665.64,832.82,n,Šmarda et al. 2019,2
735608-1,Rubus caesius L.,Rubus caesius,L.,1.29,0.64,1258.95,629.47,n,Šmarda et al. 2019,2
735780-1,Rubus chamaemorus L.,Rubus chamaemorus,L.,2.33,1.16,2277.96,1138.98,n,Šmarda et al. 2019,2
298089-2,Rubus idaeus L.,Rubus idaeus,L.,0.6,0.3,589.23,294.61,n,Šmarda et al. 2019,2
738619-1,Rubus nessensis Hall,Rubus nessensis,Hall,1.17,0.58,1144.01,572.01,n,Šmarda et al. 2019,2
739981-1,Rubus saxatilis L.,Rubus saxatilis,L.,1.31,0.66,1283.59,641.8,n,Šmarda et al. 2019,2
224391-2,Rumex acetosella L.,Rumex acetosella,L.,2.88,1.44,2814.57,1407.28,n,Šmarda et al. 2019,2
224391-2,Rumex acetosella L.,Rumex acetosella,L.,4.17,2.09,4081.14,2040.57,n,Šmarda et al. 2019,2
326377-2,Rumex alpinus L.,Rumex alpinus,L.,0.89,0.44,868.08,434.04,n,Šmarda et al. 2019,2
697003-1,Rumex conglomeratus Murray,Rumex conglomeratus,Murray,1.4,0.7,1369.56,684.78,n,Šmarda et al. 2019,2
224413-2,Rumex crispus L.,Rumex crispus,L.,4.04,2.02,3948.15,1974.08,n,Šmarda et al. 2019,2
697202-1,Rumex hydrolapathum Huds.,Rumex hydrolapathum,Huds.,14.03,7.01,13719.78,6859.89,n,Šmarda et al. 2019,2
697202-1,Rumex hydrolapathum Huds.,Rumex hydrolapathum,Huds.,13.84,6.92,13532.1,6766.05,n,Šmarda et al. 2019,2
300184-2,Rumex maritimus L.,Rumex maritimus,L.,2.01,1,1962.33,981.17,n,Šmarda et al. 2019,2
310739-2,Rumex obtusifolius L.,Rumex obtusifolius,L.,2.32,1.16,2272.71,1136.36,n,Šmarda et al. 2019,2
697388-1,Rumex patientia L.,Rumex patientia,L.,4.4,2.2,4304.52,2152.26,n,Šmarda et al. 2019,2
310740-2,Rumex sanguineus L.,Rumex sanguineus,L.,1.44,0.72,1408.68,704.34,n,Šmarda et al. 2019,2
156411-1,Sagina apetala Ard.,Sagina apetala,Ard.,0.87,0.44,851.64,425.82,n,Šmarda et al. 2019,2
302082-2,Sagina procumbens L.,Sagina procumbens,L.,0.74,0.37,720.83,360.41,n,Šmarda et al. 2019,2
30074004-2,Sagittaria sagittifolia L.,Sagittaria sagittifolia,L.,38.62,19.31,37768.89,18884.44,n,Šmarda et al. 2019,2
776974-1,Salix alba L.,Salix alba,L.,1.47,0.74,1441.93,720.96,n,Šmarda et al. 2019,2
777119-1,Salix aurita L.,Salix aurita,L.,0.85,0.42,826.88,413.44,n,Šmarda et al. 2019,2
303599-2,Salix caprea L.,Salix caprea,L.,0.8,0.4,779.76,389.88,n,Šmarda et al. 2019,2
301107-2,Salix cinerea L.,Salix cinerea,L.,1.43,0.72,1399.37,699.69,n,Šmarda et al. 2019,2
301107-2,Salix cinerea L.,Salix cinerea,L.,1.35,0.68,1323.32,661.66,n,Šmarda et al. 2019,2
302928-2,Salix herbacea L.,Salix herbacea,L.,0.83,0.42,815.41,407.7,n,Šmarda et al. 2019,2
